chr	start	end	name	log2fc	pval
chr1	3670862	3672072	173		
chr1	4408901	4409171	7		
chr1	4491740	4493579	594		
chr1	4496873	4497438	136		
chr1	4571383	4572287	89		
chr1	4785088	4786246	981		
chr1	4807351	4808479	961		
chr1	4857172	4857615	169		
chr1	4857719	4858683	897		
chr1	5019064	5020335	128		
chr1	5082934	5083828	883		
chr1	6213850	6215559	1830		
chr1	6382776	6383301	34		
chr1	7088268	7088781	381		
chr1	7088987	7089988	728		
chr1	7397588	7398704	705		
chr1	8410823	8411164	23		
chr1	9237004	9237969	82		
chr1	9299314	9299575	10		
chr1	9545367	9546775	955		
chr1	9629884	9630137	23		
chr1	9630323	9631208	79		
chr1	9699931	9701243	837		
chr1	9747322	9748468	990		
chr1	9797668	9798907	1198		
chr1	9848011	9848984	136		
chr1	9943473	9944532	712		
chr1	9967253	9968507	246		
chr1	10008895	10009122	14		
chr1	10037381	10038706	1509		
chr1	10039730	10040289	708		
chr1	10232022	10233736	1722		
chr1	10993418	10994668	665		
chr1	11329495	11329821	17		
chr1	11413800	11414626	49		
chr1	12692253	12693761	191		
chr1	12718475	12719623	64		
chr1	12764369	12765058	25		
chr1	12991406	12992783	353		
chr1	13293304	13293799	51		
chr1	13372568	13374723	2714		
chr1	13426131	13427028	123		
chr1	13588905	13589915	1139		
chr1	13659665	13660828	466		
chr1	14304371	14304620	8		
chr1	14309405	14310311	114		
chr1	14506488	14506917	14		
chr1	14754680	14756176	149		
chr1	15286560	15287316	38		
chr1	15805263	15805483	67		
chr1	15805590	15806469	900		
chr1	15892438	15892985	38		
chr1	16092908	16093480	21		
chr1	16103774	16104404	679		
chr1	16104678	16106377	1517		
chr1	16518592	16520078	905		
chr1	16618362	16619361	1090		
chr1	16619490	16619730	87		
chr1	16656215	16657502	1135		
chr1	16664939	16665981	749		
chr1	16688049	16689160	579		
chr1	17096588	17097907	423		
chr1	17601958	17603430	105		
chr1	17603900	17604174	19		
chr1	17727219	17728221	61		
chr1	20819714	20820348	393		
chr1	20890191	20891405	450		
chr1	20951148	20952155	220		
chr1	21071018	21071218	9		
chr1	21078592	21079298	529		
chr1	21079422	21079846	172		
chr1	21166345	21167094	124		
chr1	21218495	21219219	320		
chr1	21240650	21241377	33		
chr1	21271761	21272329	37		
chr1	21829748	21830320	26		
chr1	21960800	21962015	254		
chr1	22327560	22327851	22		
chr1	22533509	22533976	28		
chr1	22805565	22806407	104		
chr1	23188121	23188472	16		
chr1	23256240	23257640	1208		
chr1	23301392	23301742	15		
chr1	23301842	23302042	11		
chr1	23321416	23321906	25		
chr1	23382503	23383273	637		
chr1	23762094	23762970	57		
chr1	23763026	23763226	11		
chr1	23921523	23922632	1031		
chr1	24004982	24005917	569		
chr1	24099489	24100897	1201		
chr1	24586685	24587010	12		
chr1	24611690	24611923	31		
chr1	24612225	24612549	29		
chr1	24613502	24614071	68		
chr1	24615120	24615388	25		
chr1	24615780	24616028	35		
chr1	24677994	24679382	1270		
chr1	24699225	24699714	3		
chr1	25016511	25016711	11		
chr1	25829966	25830499	21		
chr1	26687222	26687446	1		
chr1	29737215	29737417	17		
chr1	30872782	30874275	1578		
chr1	30948647	30950404	1337		
chr1	31019622	31020001	22		
chr1	33362656	33363329	25		
chr1	33669366	33670618	827		
chr1	33719787	33720682	560		
chr1	33757149	33758122	505		
chr1	33813672	33814616	804		
chr1	33883330	33883570	11		
chr1	33883607	33883807	13		
chr1	33907417	33908518	486		
chr1	33945057	33945389	16		
chr1	34005874	34006922	319		
chr1	34011143	34012282	789		
chr1	34121058	34122568	331		
chr1	34236299	34237807	196		
chr1	34326604	34326923	16		
chr1	34388971	34389274	15		
chr1	34432835	34433430	160		
chr1	34434535	34435329	372		
chr1	34438908	34440467	1186		
chr1	34459136	34460317	342		
chr1	34472397	34473518	311		
chr1	34485368	34486082	40		
chr1	34750465	34751015	38		
chr1	34801657	34802322	141		
chr1	34841996	34843454	1194		
chr1	34849664	34850672	518		
chr1	35849700	35850350	42		
chr1	35879942	35880186	17		
chr1	35913991	35914191	11		
chr1	36068312	36069506	995		
chr1	36243592	36244592	671		
chr1	36254937	36255183	13		
chr1	36272590	36273511	132		
chr1	36307719	36308849	774		
chr1	36368194	36369212	812		
chr1	36444627	36445376	541		
chr1	36470967	36472285	749		
chr1	36511807	36513106	1085		
chr1	36534044	36535717	261		
chr1	36546612	36547342	362		
chr1	36556217	36556620	194		
chr1	36556722	36558593	1961		
chr1	36580435	36580800	14		
chr1	36589178	36589402	5		
chr1	36691471	36692433	936		
chr1	36709147	36710047	940		
chr1	36784894	36785591	31		
chr1	36938728	36940287	1816		
chr1	37028857	37029774	113		
chr1	37299824	37300727	870		
chr1	37429406	37430858	1254		
chr1	37495830	37496098	6		
chr1	37540105	37541488	937		
chr1	37639004	37639293	20		
chr1	37719467	37720269	121		
chr1	37864363	37865158	418		
chr1	37865311	37865756	188		
chr1	37871899	37872832	329		
chr1	37889704	37891120	895		
chr1	37996521	37997251	727		
chr1	37997426	37998814	1285		
chr1	38128851	38130260	1264		
chr1	38304481	38304901	17		
chr1	38626780	38628053	379		
chr1	38664555	38664886	12		
chr1	38835615	38836747	182		
chr1	38897610	38898369	86		
chr1	38987267	38988543	909		
chr1	39192877	39194730	697		
chr1	39280823	39281409	29		
chr1	39367409	39367724	107		
chr1	39367842	39368798	1013		
chr1	39477887	39479173	691		
chr1	39535309	39536538	986		
chr1	39576379	39577726	956		
chr1	39650338	39651033	44		
chr1	39720741	39721454	79		
chr1	39761533	39762193	53		
chr1	39804473	39805339	69		
chr1	39867675	39868165	14		
chr1	39869791	39870230	17		
chr1	39900345	39902395	1587		
chr1	39935905	39936686	126		
chr1	40085502	40086235	83		
chr1	40224940	40225661	77		
chr1	40266332	40267645	495		
chr1	40324487	40326085	203		
chr1	40404900	40405183	15		
chr1	40680561	40682008	278		
chr1	40790208	40791147	407		
chr1	40805620	40806508	201		
chr1	40806786	40807292	52		
chr1	40874209	40874562	15		
chr1	40874655	40874855	10		
chr1	42491766	42492005	11		
chr1	42696646	42697415	49		
chr1	42713450	42714011	19		
chr1	42714302	42714541	17		
chr1	42851192	42851966	557		
chr1	42952839	42953591	70		
chr1	43091924	43093091	1127		
chr1	43098036	43099324	1372		
chr1	43163269	43164181	138		
chr1	43193799	43194834	339		
chr1	43195318	43196659	444		
chr1	43311126	43311394	14		
chr1	43445347	43447047	1265		
chr1	43826999	43827839	595		
chr1	43828075	43828359	84		
chr1	43933238	43934826	1347		
chr1	44041967	44042600	35		
chr1	44101596	44102819	631		
chr1	44118268	44120272	1191		
chr1	44147380	44148570	764		
chr1	44198604	44199172	28		
chr1	44551600	44552757	524		
chr1	45311556	45312909	225		
chr1	45313241	45313936	79		
chr1	45501655	45503120	328		
chr1	45734522	45735002	33		
chr1	45794782	45796067	1051		
chr1	45925139	45926149	377		
chr1	46053009	46053273	13		
chr1	46066587	46067270	131		
chr1	46852572	46853534	1262		
chr1	46853708	46854215	281		
chr1	50926846	50928173	168		
chr1	50962538	50962748	14		
chr1	51267198	51267400	13		
chr1	51289199	51291865	1680		
chr1	51292052	51292271	129		
chr1	51333256	51334129	171		
chr1	51477615	51478425	635		
chr1	51478593	51479034	212		
chr1	51914794	51916063	835		
chr1	52008685	52009123	19		
chr1	52113369	52113819	98		
chr1	52118993	52120451	1038		
chr1	52166909	52167436	39		
chr1	52231950	52233226	1697		
chr1	52233429	52233751	179		
chr1	52499507	52500974	1520		
chr1	52630599	52631253	495		
chr1	52726420	52727654	918		
chr1	52798897	52799505	27		
chr1	52816619	52818030	805		
chr1	52844543	52844788	45		
